Property,MARC fields,Model  ready,Transform rules,Implemented,Comment,,
subTitle,245b,Y,Y,,,,
partNumber,245n,Y,Y,,,,
partName,245p,Y,Y,,,,
alternativeTitle,246,Y,Y,,,,
playingTime,306,Y,Y,,,,
credits,"508, 511",Y,Y,,Check that the two can be folded into one field.,,
contents,505,Y,Y,,,,
contentTypes,336,Y,Y,,,,
mediaTypes,337,Y,Y,,,,
carrierTypes,338,Y,Y,,,,
series,"440, 490 (?), 830",Y,,,,,
references,"510, 581",,,,,,
cite as,524,,,,,,
copyrightDate,"260, 264",,,,,,
copyrightNote,593,,,,,,
copyRightHolder,542,,,,,,
parts,TBC,Y,,,,,
partOf,TBC,Y,,,,,
termsOfUse,540,,,,,,
Contributors (meeting),"111, 711",,,,,,
"Subject (meeting, event)","611, 647",Y,,,,,
Source of acquisition,541,,,,,,
Ownership,561,,,,,,
edition,250,,,,,,
subject (work),630,Y,,,,,
whereExhibted,585,,,,,,
subject (location controlled),43,Y,,,,,
analytics,"item, location",Y,,,This includes containedIn’s and boundWith’s which point to another item for the purpose of location,,
mediaSegment,505,,,,Transcripts of media with timecode. Using a restricted set of subfields.,,
chapters/parts,505,,,,,,
continues (journals),785,,,,,,
continuedBy (journals),780,,,,,,
reproduction/copy,"533, 776, 534, 530",,,,,,
contributors (additional fields for jurisdictions),"700, 710, 711",,,,,,
worktype,Material Type,Y,Y,Y,,,
identifiers,bib number,Y,Y,Y,,,
title,245 ab,Y,Y,Y,,,
language,language field,Y,Y,Y,,,
contributors,"100, 110, 700, 710",Y,Y,Y,"111, 711 events not implemented. sub fields a,b,c,d,e only at the moment.",,
genres,655,Y,Y,Y,"subfield v,x,y,z",,
subjects,"650, 648, 651",Y,Y,Y,"subfields a, v,x,y,z",,
subjects (people),600,Y,Y,Y,"subfields c, a, b, d, e",,
createdDate,,Y,Y,Y,Deprecated,,
production,"260, 264",Y,Y,Y,"Subfields a,b,c",,
lettering,246 a,Y,Y,Y,,,
description,520 a,Y,Y,Y,Art works 245?,,
dimensions,300c,Y,Y,Y,,,
extent,300a,Y,Y,Y,,,
"physical description",300b,Y,Y,Y,,,
ISBN,020a,Y,Y,Y,,,
